;turma;idSection;idStudent;idProblem;idAttempt;timeAttempt;isCorrectAnswer;answerCode;hasSkipped;idEvent;number;timeEvent;typeEvent;answerProblemLevelStudent;answerProblemLevelSystem;abuso;p1;p2;p3;p4
77;1;1;2;3;443;1014;0;1;1;9;1;34;1;4;3;0;1;0;0;1
78;1;1;2;3;443;1014;0;1;1;9;1;44;1;4;2;0;0;0;0;1
79;1;1;2;3;443;1014;0;1;1;10;2;33;1;4;2;0;1;1;1;0
80;1;1;2;3;443;1014;0;1;1;11;3;17825;1;4;3;0;0;0;0;0
81;1;1;2;3;443;1014;0;1;1;11;3;17825;1;4;5;0;1;0;0;1
82;1;1;2;3;443;1014;0;1;1;12;4;17825;1;4;1;0;1;1;1;0
83;1;1;2;3;443;1014;0;1;1;9;1;51;2;4;3;0;0;0;0;0
84;1;1;2;3;443;1014;0;1;1;9;1;54;2;4;4;0;0;1;0;0
85;1;1;2;3;443;1014;0;1;1;9;1;31;2;4;5;0;0;0;0;0
86;1;1;2;3;443;1014;0;1;1;12;4;25;2;4;5;0;0;0;0;1
87;1;1;2;3;443;1014;0;1;1;12;4;35;2;4;2;0;1;0;0;0
88;1;1;2;3;609;37;1;1;1;9;1;56;1;4;4;0;1;0;0;0
89;1;1;2;3;609;37;1;1;1;9;1;55;1;4;4;0;0;1;0;0
90;1;1;2;3;609;37;1;1;1;10;2;58;1;4;1;0;0;1;1;0
91;1;1;2;3;609;37;1;1;1;11;3;16811;1;4;4;0;0;0;0;1
92;1;1;2;3;609;37;1;1;1;12;4;16811;1;4;1;0;1;0;0;0
93;1;1;2;3;609;37;1;1;1;9;1;51;2;4;4;0;0;0;0;1
94;1;1;2;3;609;37;1;1;1;9;1;22;2;4;3;0;0;1;0;0
95;1;1;2;3;609;37;1;1;1;9;1;43;2;4;3;0;1;0;1;1
96;1;1;2;3;609;37;1;1;1;9;1;24;2;4;3;0;1;1;1;0
97;1;1;2;3;609;37;1;1;1;9;1;19;2;4;2;0;0;0;1;1
98;1;1;2;3;617;29;1;1;1;13;1;56;2;3;2;0;0;1;0;0
99;1;1;2;3;626;5;1;1;1;13;1;16;2;3;4;0;1;0;1;0
100;1;1;2;3;635;6;1;1;1;13;1;42;2;4;2;0;1;0;0;1
101;1;1;2;3;639;24;1;1;1;9;1;24;2;4;5;0;1;1;0;1
102;1;1;2;3;639;24;1;1;1;12;4;56;2;4;2;0;1;0;1;0
103;1;1;2;3;645;71;1;1;1;9;1;31;2;3;2;0;1;0;1;1
104;1;1;2;3;3209;1;1;1;1;5;1;2;2;2;4;0;1;0;1;0
105;1;1;2;3;3214;0;1;1;1;13;1;39;2;2;1;0;1;1;0;1
106;1;1;2;3;3536;0;1;1;1;9;1;20;2;3;1;0;1;0;1;1
107;1;1;2;3;3536;0;1;1;1;13;1;2;2;3;5;0;0;1;0;1
108;1;1;2;3;3566;0;1;1;1;5;1;52;2;3;3;0;0;0;0;0
109;1;1;2;3;3568;0;1;1;1;21;1;53;2;3;2;0;0;0;1;1
110;1;1;2;4;365;1;0;1;1;13;1;22;2;2;1;0;1;1;0;0
111;1;1;2;4;440;66;1;1;1;9;1;56;2;3;4;0;0;0;1;1
112;1;1;2;4;623;6;1;1;1;16;4;39;1;3;4;0;0;1;1;0
113;1;1;2;4;623;6;1;1;1;13;1;29;2;3;3;0;0;1;0;0
114;1;1;2;4;623;6;1;1;1;16;4;35;2;3;1;0;0;1;1;0
115;1;1;2;4;623;6;1;1;1;17;1;45;2;3;4;0;0;0;0;0
116;1;1;2;4;625;19;1;1;1;9;1;16;2;3;4;0;1;0;1;1
117;1;1;2;4;627;89;1;1;1;9;1;36;2;3;2;0;1;0;0;1
118;1;1;2;4;637;7;1;1;1;9;1;53;2;4;5;0;0;1;1;1
119;1;1;2;4;3208;0;1;1;1;9;1;3;2;2;5;0;0;0;1;1
120;1;1;2;4;3208;0;1;1;1;13;1;45;2;2;3;0;1;1;0;1
121;1;1;2;4;3215;0;1;1;1;16;4;42;2;2;4;0;1;0;1;0
122;1;1;2;4;3221;0;1;1;1;16;4;8;1;2;5;0;0;1;0;1
123;1;1;2;4;3221;0;1;1;1;13;1;13;2;2;2;0;0;0;0;0
124;1;1;2;4;3221;0;1;1;1;16;4;4;2;2;5;0;1;0;0;0
125;1;1;2;4;3224;0;1;1;1;17;1;2;2;3;3;0;0;1;1;0
126;1;1;2;4;3537;0;1;1;1;17;1;19;2;3;4;0;0;1;1;0
127;1;1;2;4;3541;0;1;1;1;16;4;24;2;3;1;0;0;0;1;1
128;1;1;2;4;3541;0;1;1;1;29;1;4;2;3;4;0;0;0;1;1
129;1;1;2;4;3547;0;1;1;1;16;4;34;2;3;5;0;1;1;0;1
130;1;1;2;4;3547;0;1;1;1;21;1;4;2;3;5;0;1;0;0;1
131;1;1;2;4;3551;6;1;1;1;16;4;36;2;3;2;0;1;0;1;1
132;1;1;2;4;3565;0;1;1;1;9;1;51;2;3;2;0;0;1;0;1
133;1;1;2;5;366;0;0;1;1;5;1;37;2;2;3;0;1;1;1;0
134;1;1;2;5;366;0;0;1;1;17;1;43;2;2;3;0;0;0;0;1
135;1;1;2;5;3220;0;1;1;1;13;1;50;2;2;2;0;0;1;0;1
136;1;1;2;5;3225;0;1;1;1;18;2;2;1;3;2;0;0;1;1;0
137;1;1;2;5;3225;0;1;1;1;17;1;5;2;3;4;0;0;0;1;0
138;1;1;2;5;3225;0;1;1;1;20;4;39;2;3;4;0;0;0;0;0
139;1;1;2;5;3330;0;0;1;1;17;1;32;2;4;5;0;1;0;1;1
140;1;1;2;5;3330;0;0;1;1;21;1;16;2;4;1;0;0;1;1;1
141;1;1;2;5;3359;0;0;1;1;25;1;44;2;4;1;0;0;1;0;0
142;1;1;2;5;3538;0;1;1;1;21;1;17;2;3;1;0;0;0;0;1
143;1;1;2;5;3577;0;1;1;1;25;1;41;2;3;2;0;0;0;1;1
144;1;6;2;6;3232;125;1;1;1;21;1;46;2;4;4;0;0;0;0;0
145;1;6;2;6;3315;0;0;1;1;5;1;23;2;4;4;0;0;0;0;0
146;1;6;2;6;3315;0;0;1;1;21;1;15;2;4;5;0;0;0;0;0
147;1;6;2;6;3315;0;0;1;1;21;1;3;2;4;3;0;0;0;0;1
148;1;6;2;6;3315;0;0;1;1;24;4;2;2;4;3;0;0;0;1;1
149;1;6;2;6;3361;0;0;1;1;23;3;43;1;4;5;0;1;0;1;0
150;1;6;2;6;3361;0;0;1;1;21;1;57;2;4;3;0;0;1;1;0
151;1;6;2;6;3361;0;0;1;1;24;4;41;2;4;1;0;0;0;1;1
152;1;6;2;6;3379;0;1;1;1;21;1;17;1;4;1;0;1;0;1;0
153;1;6;2;6;3379;0;1;1;1;21;1;22;2;4;3;0;0;0;1;0
154;1;6;2;6;3379;0;1;1;1;24;4;2;2;4;4;0;0;1;0;0
155;1;6;2;6;3394;0;1;1;1;25;1;6;2;3;1;0;0;0;0;0
156;1;6;2;6;3410;0;1;1;1;25;1;5;2;4;1;0;0;0;0;0
157;1;6;2;6;3505;0;1;1;1;25;1;5;2;3;5;0;0;0;0;0
158;1;6;2;6;3508;0;1;1;1;29;1;2;2;3;4;0;0;1;0;0
